"model","scenario","region","unit","variable","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Income Inequality Model (2019)","SSP3","Libya","","Gini Income Inequality Coefficient",41.695,41.978,42.21,42.472,42.695,42.852,43.013,43.178,43.354,43.534,43.685,43.807,43.92,44.024,44.109,44.149,44.178,44.193
"Income Inequality Model (2019)","SSP3","Lithuania","","Gini Income Inequality Coefficient",36.771,38.453,39.977,41.328,42.494,43.614,44.708,45.78,46.87,47.995,49.134,50.253,51.341,52.41,53.485,54.584,55.702,56.823
"Income Inequality Model (2019)","SSP3","Luxembourg","","Gini Income Inequality Coefficient",27.761,28.148,28.625,29.131,29.664,30.219,30.792,31.389,32.01,32.656,33.325,34.02,34.735,35.465,36.203,36.943,37.683,38.422
"Income Inequality Model (2019)","SSP3","Macao","","Gini Income Inequality Coefficient",44.347,44.56,44.758,44.99,45.186,45.32,45.467,45.627,45.804,45.997,46.19,46.368,46.544,46.713,46.858,46.945,47.019,47.079
"Income Inequality Model (2019)","SSP3","Madagascar","","Gini Income Inequality Coefficient",46.52,46.643,46.982,47.312,47.563,47.74,47.927,48.119,48.322,48.524,48.65,48.723,48.785,48.837,48.924,49.159,49.391,49.619
"Income Inequality Model (2019)","SSP3","Malawi","","Gini Income Inequality Coefficient",52.317,52.512,52.669,52.85,53.064,53.295,53.53,53.767,54.009,54.247,54.501,54.755,54.995,55.219,55.422,55.606,55.776,55.933
"Income Inequality Model (2019)","SSP3","Malaysia","","Gini Income Inequality Coefficient",52.459,52.648,52.787,52.954,53.175,53.414,53.658,53.905,54.155,54.409,54.692,54.956,55.204,55.433,55.637,55.82,55.986,56.138
"Income Inequality Model (2019)","SSP3","Maldives","","Gini Income Inequality Coefficient",42.97,43.226,43.426,43.656,43.858,43.982,44.11,44.242,44.385,44.539,44.67,44.745,44.808,44.858,44.888,44.874,44.846,44.804
"Income Inequality Model (2019)","SSP3","Mali","","Gini Income Inequality Coefficient",39.516,39.901,39.999,40.155,40.295,40.373,40.448,40.524,40.608,40.7,40.796,40.889,40.975,41.052,41.062,40.855,40.628,40.38
"Income Inequality Model (2019)","SSP3","Malta","","Gini Income Inequality Coefficient",27.81,28.386,28.919,29.446,29.95,30.45,30.974,31.542,32.171,32.859,33.591,34.345,35.11,35.879,36.654,37.431,38.21,38.988
"Income Inequality Model (2019)","SSP3","Mauritania","","Gini Income Inequality Coefficient",43.466,43.63,43.903,44.185,44.431,44.588,44.754,44.927,45.112,45.31,45.465,45.528,45.574,45.605,45.649,45.773,45.888,45.992
"Income Inequality Model (2019)","SSP3","Mauritius","","Gini Income Inequality Coefficient",42.282,42.665,42.764,42.921,43.062,43.14,43.216,43.292,43.377,43.469,43.565,43.658,43.744,43.821,43.831,43.626,43.401,43.155
"Income Inequality Model (2019)","SSP3","Mexico","","Gini Income Inequality Coefficient",54.335,53.942,53.399,53.038,52.954,52.857,52.756,52.659,52.582,52.533,52.515,52.523,52.561,52.63,52.731,52.862,53.022,53.212
"Income Inequality Model (2019)","SSP3","Moldova","","Gini Income Inequality Coefficient",30.706,31.149,31.6,32.048,32.411,32.782,33.17,33.582,34.015,34.465,34.925,35.395,35.875,36.362,36.826,37.241,37.637,38.022
"Income Inequality Model (2019)","SSP3","Mongolia","","Gini Income Inequality Coefficient",40.356,40.741,40.839,40.995,41.135,41.213,41.288,41.364,41.448,41.54,41.636,41.729,41.815,41.892,41.902,41.695,41.468,41.22
"Income Inequality Model (2019)","SSP3","Montenegro","","Gini Income Inequality Coefficient",31.106,31.491,31.589,31.745,31.885,31.963,32.038,32.114,32.198,32.29,32.386,32.479,32.565,32.642,32.652,32.445,32.218,31.97
"Income Inequality Model (2019)","SSP3","Morocco","","Gini Income Inequality Coefficient",46.627,46.759,47.098,47.428,47.673,47.847,48.031,48.22,48.42,48.615,48.73,48.807,48.876,48.935,49.028,49.261,49.491,49.718
"Income Inequality Model (2019)","SSP3","Mozambique","","Gini Income Inequality Coefficient",51.768,51.986,52.212,52.45,52.636,52.836,53.037,53.237,53.442,53.621,53.765,53.978,54.189,54.396,54.593,54.782,54.964,55.141
"Income Inequality Model (2019)","SSP3","Myanmar","","Gini Income Inequality Coefficient",43.905,43.987,44.325,44.654,44.939,45.125,45.324,45.533,45.755,45.993,46.17,46.221,46.253,46.267,46.323,46.57,46.81,47.044
"Income Inequality Model (2019)","SSP3","Namibia","","Gini Income Inequality Coefficient",67.169,67.358,67.497,67.664,67.885,68.124,68.368,68.615,68.865,69.119,69.402,69.666,69.914,70.143,70.347,70.53,70.696,70.848
"Income Inequality Model (2019)","SSP3","Nepal","","Gini Income Inequality Coefficient",39.226,39.611,39.709,39.865,40.005,40.083,40.158,40.234,40.318,40.41,40.506,40.599,40.685,40.762,40.772,40.565,40.338,40.09
"Income Inequality Model (2019)","SSP3","Netherlands","","Gini Income Inequality Coefficient",27.094,27.831,28.478,29.157,29.852,30.57,31.309,32.07,32.85,33.641,34.443,35.256,36.076,36.901,37.728,38.558,39.39,40.227
"Income Inequality Model (2019)","SSP3","New Caledonia","","Gini Income Inequality Coefficient",42.417,42.734,42.954,43.198,43.342,43.455,43.565,43.675,43.789,43.879,43.91,44.027,44.149,44.272,44.369,44.364,44.353,44.335
"Income Inequality Model (2019)","SSP3","New Zealand","","Gini Income Inequality Coefficient",33.08,33.664,34.266,34.907,35.542,36.163,36.781,37.411,38.065,38.729,39.393,40.057,40.722,41.389,42.062,42.741,43.423,44.104
"Income Inequality Model (2019)","SSP3","Nicaragua","","Gini Income Inequality Coefficient",45.822,46.041,46.383,46.714,46.887,47.042,47.197,47.352,47.511,47.627,47.633,47.756,47.891,48.032,48.191,48.398,48.61,48.825
"Income Inequality Model (2019)","SSP3","Niger","","Gini Income Inequality Coefficient",37.926,38.311,38.409,38.565,38.705,38.783,38.858,38.934,39.018,39.11,39.206,39.299,39.385,39.462,39.472,39.265,39.038,38.79
"Income Inequality Model (2019)","SSP3","Nigeria","","Gini Income Inequality Coefficient",49.152,49.386,49.659,49.936,50.104,50.281,50.459,50.634,50.813,50.953,51.021,51.205,51.397,51.591,51.785,51.977,52.167,52.358
"Income Inequality Model (2019)","SSP3","North Macedonia","","Gini Income Inequality Coefficient",44.357,44.947,45.525,46.04,46.483,46.93,47.464,48.007,48.56,49.122,49.69,50.273,50.865,51.459,52.058,52.662,53.27,53.881
"Income Inequality Model (2019)","SSP3","Norway","","Gini Income Inequality Coefficient",25.816,26.181,26.529,26.857,27.185,27.519,27.864,28.222,28.594,28.977,29.368,29.766,30.169,30.576,30.985,31.397,31.809,32.222
"Income Inequality Model (2019)","SSP3","Oman","","Gini Income Inequality Coefficient",41.695,41.978,42.21,42.472,42.695,42.852,43.013,43.178,43.354,43.534,43.685,43.807,43.92,44.024,44.109,44.149,44.178,44.193
"Income Inequality Model (2019)","SSP3","Pakistan","","Gini Income Inequality Coefficient",36.066,36.451,36.549,36.705,36.845,36.923,36.998,37.074,37.158,37.25,37.346,37.439,37.525,37.602,37.612,37.405,37.178,36.93
"Income Inequality Model (2019)","SSP3","Palestine","","Gini Income Inequality Coefficient",40.936,41.321,41.419,41.575,41.715,41.793,41.868,41.944,42.028,42.12,42.216,42.309,42.395,42.472,42.482,42.275,42.048,41.8
"Income Inequality Model (2019)","SSP3","Panama","","Gini Income Inequality Coefficient",54.32,54.407,54.584,54.851,55.187,55.542,55.933,56.341,56.774,57.234,57.72,58.219,58.725,59.236,59.751,60.265,60.774,61.277
"Income Inequality Model (2019)","SSP3","Papua New Guinea","","Gini Income Inequality Coefficient",50.071,50.281,50.483,50.701,50.897,51.107,51.32,51.534,51.751,51.952,52.135,52.362,52.583,52.796,52.995,53.182,53.36,53.53
"Income Inequality Model (2019)","SSP3","Paraguay","","Gini Income Inequality Coefficient",52.799,52.988,53.127,53.294,53.515,53.754,53.998,54.245,54.495,54.749,55.032,55.296,55.544,55.773,55.977,56.16,56.326,56.478
"Income Inequality Model (2019)","SSP3","Peru","","Gini Income Inequality Coefficient",48.431,49.58,50.63,51.595,52.41,53.227,54.1,55.013,55.969,56.969,58.011,59.086,60.186,61.219,62.034,62.673,63.175,63.568
"Income Inequality Model (2019)","SSP3","Philippines","","Gini Income Inequality Coefficient",43.985,44.518,44.932,45.482,46.059,46.581,47.1,47.599,48.097,48.6,49.105,49.59,50.053,50.495,50.921,51.33,51.723,52.097
"Income Inequality Model (2019)","SSP3","Poland","","Gini Income Inequality Coefficient",37.142,37.853,38.666,39.479,40.236,40.964,41.691,42.433,43.203,44.001,44.816,45.636,46.455,47.275,48.1,48.933,49.772,50.608
"Income Inequality Model (2019)","SSP3","Portugal","","Gini Income Inequality Coefficient",36.652,36.955,37.264,37.633,38.039,38.489,38.992,39.548,40.161,40.82,41.519,42.254,43.011,43.779,44.549,45.316,46.08,46.843
"Income Inequality Model (2019)","SSP3","Puerto Rico","","Gini Income Inequality Coefficient",56.107,56.697,57.275,57.79,58.233,58.68,59.214,59.757,60.31,60.872,61.44,62.023,62.615,63.209,63.808,64.412,65.02,65.631
"Income Inequality Model (2019)","SSP3","Qatar","","Gini Income Inequality Coefficient",46.246,46.348,46.686,47.016,47.285,47.466,47.659,47.86,48.073,48.294,48.446,48.507,48.554,48.586,48.657,48.898,49.135,49.366
"Income Inequality Model (2019)","SSP3","Romania","","Gini Income Inequality Coefficient",27.486,27.851,28.199,28.527,28.855,29.189,29.534,29.892,30.264,30.647,31.038,31.436,31.839,32.246,32.655,33.067,33.479,33.892
"Income Inequality Model (2019)","SSP3","Russian Federation","","Gini Income Inequality Coefficient",41.347,41.937,42.515,43.03,43.473,43.92,44.454,44.997,45.55,46.112,46.68,47.263,47.855,48.449,49.048,49.652,50.26,50.871
"Income Inequality Model (2019)","SSP3","Rwanda","","Gini Income Inequality Coefficient",57.539,57.728,57.867,58.034,58.255,58.494,58.738,58.985,59.235,59.489,59.772,60.036,60.284,60.513,60.717,60.9,61.066,61.218
"Income Inequality Model (2019)","SSP3","Saint Lucia","","Gini Income Inequality Coefficient",42.828,43.11,43.29,43.505,43.694,43.809,43.926,44.047,44.178,44.319,44.442,44.521,44.589,44.645,44.67,44.617,44.549,44.464
"Income Inequality Model (2019)","SSP3","Saint Vincent and the Grenadines","","Gini Income Inequality Coefficient",49.393,49.653,49.878,50.153,50.437,50.686,50.939,51.193,51.453,51.703,51.925,52.115,52.285,52.431,52.55,52.647,52.722,52.778
"Income Inequality Model (2019)","SSP3","Samoa","","Gini Income Inequality Coefficient",48.869,49.11,49.406,49.7,49.86,50.027,50.194,50.358,50.525,50.646,50.678,50.85,51.032,51.221,51.412,51.606,51.8,51.998
"Income Inequality Model (2019)","SSP3","Sao Tome and Principe","","Gini Income Inequality Coefficient",37.296,37.681,37.779,37.935,38.075,38.153,38.228,38.304,38.388,38.48,38.576,38.669,38.755,38.832,38.842,38.635,38.408,38.16
"Income Inequality Model (2019)","SSP3","Saudi Arabia","","Gini Income Inequality Coefficient",41.695,41.978,42.21,42.472,42.695,42.852,43.013,43.178,43.354,43.534,43.685,43.807,43.92,44.024,44.109,44.149,44.178,44.193
"Income Inequality Model (2019)","SSP3","Senegal","","Gini Income Inequality Coefficient",46.103,46.194,46.532,46.861,47.139,47.323,47.52,47.725,47.943,48.173,48.339,48.395,48.434,48.455,48.518,48.762,49.001,49.234
"Income Inequality Model (2019)","SSP3","Serbia","","Gini Income Inequality Coefficient",29.797,30.212,30.626,31.032,31.382,31.74,32.114,32.506,32.918,33.344,33.779,34.224,34.676,35.135,35.58,35.993,36.395,36.79
"Income Inequality Model (2019)","SSP3","Sierra Leone","","Gini Income Inequality Coefficient",40.466,40.851,40.949,41.105,41.245,41.323,41.398,41.474,41.558,41.65,41.746,41.839,41.925,42.002,42.012,41.805,41.578,41.33
"Income Inequality Model (2019)","SSP3","Singapore","","Gini Income Inequality Coefficient",53.499,53.688,53.827,53.994,54.215,54.454,54.698,54.945,55.195,55.449,55.732,55.996,56.244,56.473,56.677,56.86,57.026,57.178
"Income Inequality Model (2019)","SSP3","Slovakia","","Gini Income Inequality Coefficient",28.394,30.454,32.364,34.192,35.927,37.697,39.491,41.291,43.075,44.833,46.576,48.312,50.045,51.78,53.523,55.276,57.042,58.821
"Income Inequality Model (2019)","SSP3","Slovenia","","Gini Income Inequality Coefficient",25.146,25.511,25.859,26.187,26.515,26.849,27.194,27.552,27.924,28.307,28.698,29.096,29.499,29.906,30.315,30.727,31.139,31.552
"Income Inequality Model (2019)","SSP3","Solomon Islands","","Gini Income Inequality Coefficient",46.258,46.507,46.85,47.182,47.329,47.477,47.623,47.765,47.91,47.998,47.965,48.105,48.262,48.433,48.615,48.813,49.018,49.23
"Income Inequality Model (2019)","SSP3","Somalia","","Gini Income Inequality Coefficient",45.787,46.003,46.345,46.676,46.851,47.007,47.163,47.318,47.479,47.597,47.606,47.728,47.86,47.999,48.157,48.365,48.577,48.793
"Income Inequality Model (2019)","SSP3","South Africa","","Gini Income Inequality Coefficient",69.579,69.768,69.907,70.074,70.295,70.534,70.778,71.025,71.275,71.529,71.812,72.076,72.324,72.553,72.757,72.94,73.106,73.258
"Income Inequality Model (2019)","SSP3","South Korea","","Gini Income Inequality Coefficient",39.126,39.511,39.609,39.765,39.905,39.983,40.058,40.134,40.218,40.31,40.406,40.499,40.585,40.662,40.672,40.465,40.238,39.99
"Income Inequality Model (2019)","SSP3","Spain","","Gini Income Inequality Coefficient",32.372,32.806,33.281,33.804,34.348,34.925,35.551,36.233,36.965,37.733,38.525,39.34,40.178,41.037,41.908,42.784,43.659,44.537
"Income Inequality Model (2019)","SSP3","Sri Lanka","","Gini Income Inequality Coefficient",43.683,43.807,44.111,44.417,44.682,44.854,45.036,45.227,45.43,45.648,45.814,45.871,45.91,45.932,45.982,46.167,46.344,46.512
"Income Inequality Model (2019)","SSP3","Sudan","","Gini Income Inequality Coefficient",41.4,41.575,41.839,42.115,42.356,42.509,42.67,42.839,43.019,43.212,43.364,43.428,43.477,43.51,43.551,43.66,43.758,43.844
"Income Inequality Model (2019)","SSP3","Suriname","","Gini Income Inequality Coefficient",57.809,57.998,58.137,58.304,58.525,58.764,59.008,59.255,59.505,59.759,60.042,60.306,60.554,60.783,60.987,61.17,61.336,61.488
"Income Inequality Model (2019)","SSP3","Sweden","","Gini Income Inequality Coefficient",27.516,27.881,28.229,28.557,28.885,29.219,29.564,29.922,30.294,30.677,31.068,31.466,31.869,32.276,32.685,33.097,33.509,33.922
"Income Inequality Model (2019)","SSP3","Switzerland","","Gini Income Inequality Coefficient",31.779,32.095,32.412,32.777,33.211,33.631,33.946,34.282,34.643,35.017,35.398,35.762,36.115,36.474,36.872,37.339,37.832,38.343
"Income Inequality Model (2019)","SSP3","Syria","","Gini Income Inequality Coefficient",41.589,41.678,42.011,42.336,42.618,42.802,42.998,43.204,43.423,43.658,43.833,43.885,43.919,43.933,43.988,44.226,44.456,44.679
"Income Inequality Model (2019)","SSP3","Taiwan","","Gini Income Inequality Coefficient",40.276,40.661,40.759,40.915,41.055,41.133,41.208,41.284,41.368,41.46,41.556,41.649,41.735,41.812,41.822,41.615,41.388,41.14
"Income Inequality Model (2019)","SSP3","Tajikistan","","Gini Income Inequality Coefficient",30.832,31.263,31.702,32.144,32.514,32.89,33.272,33.677,34.104,34.546,35,35.461,35.929,36.405,36.863,37.282,37.688,38.085
"Income Inequality Model (2019)","SSP3","Tanzania","","Gini Income Inequality Coefficient",43.678,43.803,44.107,44.412,44.677,44.848,45.03,45.22,45.423,45.641,45.806,45.863,45.903,45.925,45.975,46.159,46.334,46.501
"Income Inequality Model (2019)","SSP3","Thailand","","Gini Income Inequality Coefficient",40.739,40.206,39.897,39.785,39.77,39.711,39.664,39.636,39.655,39.736,39.874,40.042,40.21,40.362,40.502,40.632,40.753,40.86
"Income Inequality Model (2019)","SSP3","Timor-Leste","","Gini Income Inequality Coefficient",38.036,38.421,38.519,38.675,38.815,38.893,38.968,39.044,39.128,39.22,39.316,39.409,39.495,39.572,39.582,39.375,39.148,38.9
"Income Inequality Model (2019)","SSP3","Togo","","Gini Income Inequality Coefficient",52.215,52.415,52.584,52.776,52.985,53.21,53.438,53.669,53.904,54.131,54.365,54.611,54.846,55.067,55.268,55.454,55.625,55.786
"Income Inequality Model (2019)","SSP3","Tonga","","Gini Income Inequality Coefficient",38.576,38.961,39.059,39.215,39.355,39.433,39.508,39.584,39.668,39.76,39.856,39.949,40.035,40.112,40.122,39.915,39.688,39.44
"Income Inequality Model (2019)","SSP3","Trinidad and Tobago","","Gini Income Inequality Coefficient",40.746,41.131,41.229,41.385,41.525,41.603,41.678,41.754,41.838,41.93,42.026,42.119,42.205,42.282,42.292,42.085,41.858,41.61
"Income Inequality Model (2019)","SSP3","Tunisia","","Gini Income Inequality Coefficient",42.283,42.666,42.765,42.922,43.063,43.142,43.217,43.294,43.379,43.471,43.567,43.66,43.746,43.823,43.833,43.628,43.403,43.157
"Income Inequality Model (2019)","SSP3","Turkey","","Gini Income Inequality Coefficient",40.347,40.937,41.515,42.03,42.473,42.92,43.454,43.997,44.55,45.112,45.68,46.263,46.855,47.449,48.048,48.652,49.26,49.871
"Income Inequality Model (2019)","SSP3","Turkmenistan","","Gini Income Inequality Coefficient",41.077,41.667,42.245,42.76,43.203,43.65,44.184,44.727,45.28,45.842,46.41,46.993,47.585,48.179,48.778,49.382,49.99,50.601
"Income Inequality Model (2019)","SSP3","Uganda","","Gini Income Inequality Coefficient",49.162,49.395,49.668,49.944,50.112,50.29,50.468,50.644,50.823,50.964,51.033,51.218,51.41,51.605,51.798,51.99,52.18,52.371
"Income Inequality Model (2019)","SSP3","Ukraine","","Gini Income Inequality Coefficient",24.826,25.191,25.539,25.867,26.195,26.529,26.874,27.232,27.604,27.987,28.378,28.776,29.179,29.586,29.995,30.407,30.819,31.232
"Income Inequality Model (2019)","SSP3","United Arab Emirates","","Gini Income Inequality Coefficient",41.695,41.978,42.21,42.472,42.695,42.852,43.013,43.178,43.354,43.534,43.685,43.807,43.92,44.024,44.109,44.149,44.178,44.193
"Income Inequality Model (2019)","SSP3","United Kingdom","","Gini Income Inequality Coefficient",33.91,34.413,34.945,35.503,36.057,36.617,37.198,37.812,38.46,39.135,39.826,40.527,41.234,41.944,42.659,43.378,44.096,44.81
"Income Inequality Model (2019)","SSP3","United States","","Gini Income Inequality Coefficient",40.937,42.341,43.435,44.299,45.023,45.73,46.438,47.156,47.883,48.613,49.343,50.078,50.82,51.57,52.327,53.09,53.859,54.637
"Income Inequality Model (2019)","SSP3","Uruguay","","Gini Income Inequality Coefficient",43.388,43.566,43.828,44.102,44.341,44.493,44.653,44.819,44.997,45.189,45.34,45.405,45.454,45.488,45.529,45.632,45.724,45.805
"Income Inequality Model (2019)","SSP3","Uzbekistan","","Gini Income Inequality Coefficient",35.363,35.786,36.204,36.626,37.071,37.508,37.912,38.331,38.768,39.218,39.672,40.121,40.566,41.015,41.495,42.027,42.58,43.148
"Income Inequality Model (2019)","SSP3","Vanuatu","","Gini Income Inequality Coefficient",43.253,43.457,43.698,43.958,44.185,44.328,44.478,44.633,44.8,44.98,45.124,45.192,45.246,45.285,45.322,45.388,45.442,45.483
"Income Inequality Model (2019)","SSP3","Venezuela","","Gini Income Inequality Coefficient",46.89,47.041,47.381,47.711,47.939,48.11,48.287,48.468,48.659,48.835,48.926,49.013,49.097,49.175,49.283,49.51,49.736,49.96
"Income Inequality Model (2019)","SSP3","Viet Nam","","Gini Income Inequality Coefficient",46.592,46.72,47.059,47.389,47.636,47.812,47.996,48.187,48.388,48.585,48.704,48.779,48.846,48.902,48.993,49.227,49.458,49.685
"Income Inequality Model (2019)","SSP3","Yemen","","Gini Income Inequality Coefficient",42.34,42.712,42.82,42.983,43.129,43.211,43.291,43.372,43.462,43.559,43.658,43.75,43.834,43.909,43.92,43.731,43.522,43.293
"Income Inequality Model (2019)","SSP3","Zambia","","Gini Income Inequality Coefficient",61.819,62.008,62.147,62.314,62.535,62.774,63.018,63.265,63.515,63.769,64.052,64.316,64.564,64.793,64.997,65.18,65.346,65.498
"Income Inequality Model (2019)","SSP3","Zimbabwe","","Gini Income Inequality Coefficient",45.473,45.667,46.008,46.339,46.532,46.693,46.856,47.021,47.192,47.33,47.367,47.477,47.593,47.711,47.851,48.066,48.282,48.501
"Income Inequality Model (2019)","SSP4","Afghanistan","","Gini Income Inequality Coefficient",34.346,34.837,35.025,34.964,34.808,34.614,34.389,34.142,33.872,33.233,32.249,31.159,29.638,28.269,27.151,26.245,25.511,24.916
"Income Inequality Model (2019)","SSP4","Albania","","Gini Income Inequality Coefficient",29.412,29.84,30.306,30.748,31.201,31.667,32.143,32.632,33.098,33.549,33.997,34.449,34.905,35.375,35.842,36.302,36.762,37.224
"Income Inequality Model (2019)","SSP4","Algeria","","Gini Income Inequality Coefficient",41.473,41.819,42.277,42.64,42.754,42.825,42.562,42.05,41.462,40.895,40.326,39.669,39.078,38.526,38.027,37.562,37.121,36.595
"Income Inequality Model (2019)","SSP4","Angola","","Gini Income Inequality Coefficient",49.042,49.497,50.063,50.38,50.716,50.256,50.225,50.476,50.707,50.919,51.107,51.261,51.372,51.435,51.447,51.405,51.313,51.348
"Income Inequality Model (2019)","SSP4","Argentina","","Gini Income Inequality Coefficient",43.639,43.958,44.466,44.907,45.071,45.191,44.92,44.36,43.714,43.159,42.667,42.09,41.671,41.269,40.884,40.5,40.113,39.601
"Income Inequality Model (2019)","SSP4","Armenia","","Gini Income Inequality Coefficient",31.337,31.73,32.165,32.69,33.169,33.61,34.049,34.487,34.963,35.465,35.985,36.521,37.084,37.692,38.265,38.836,39.416,40.005
"Income Inequality Model (2019)","SSP4","Aruba","","Gini Income Inequality Coefficient",49.547,50.051,50.551,50.876,51.094,51.196,51.184,51.075,50.88,50.606,50.249,49.802,49.304,48.837,48.428,48.059,47.719,47.385
"Income Inequality Model (2019)","SSP4","Australia","","Gini Income Inequality Coefficient",34.922,35.264,35.627,36.188,36.667,37.065,37.443,37.806,38.302,38.881,39.506,40.157,40.837,41.534,42.176,42.828,43.49,44.165
"Income Inequality Model (2019)","SSP4","Austria","","Gini Income Inequality Coefficient",27.071,27.998,28.849,29.75,30.687,31.627,32.567,33.519,34.49,35.481,36.496,37.542,38.617,39.725,40.862,42.025,43.21,44.417
"Income Inequality Model (2019)","SSP4","Azerbaijan","","Gini Income Inequality Coefficient",16.937,17.323,17.719,18.102,18.503,18.912,19.325,19.748,20.184,20.629,21.084,21.549,22.008,22.437,22.869,23.302,23.735,24.167
"Income Inequality Model (2019)","SSP4","Bahamas","","Gini Income Inequality Coefficient",43.222,43.597,44.002,44.281,44.342,44.361,44.105,43.645,43.12,42.539,41.888,41.146,40.373,39.66,39.038,38.487,37.988,37.449
"Income Inequality Model (2019)","SSP4","Bahrain","","Gini Income Inequality Coefficient",41.786,42.204,42.594,42.828,42.904,42.856,42.671,42.383,42.049,41.605,41.044,40.4,39.645,38.955,38.368,37.862,37.418,36.988
"Income Inequality Model (2019)","SSP4","Bangladesh","","Gini Income Inequality Coefficient",38.526,39.017,39.205,39.144,38.988,38.794,38.569,38.322,38.052,37.413,36.429,35.339,33.818,32.449,31.331,30.425,29.691,29.096
"Income Inequality Model (2019)","SSP4","Barbados","","Gini Income Inequality Coefficient",47.096,47.455,48.075,48.556,48.851,48.654,48.42,48.139,47.795,47.579,47.461,47.284,47.278,47.238,47.14,46.98,46.765,46.505
"Income Inequality Model (2019)","SSP4","Belarus","","Gini Income Inequality Coefficient",38.322,40.374,42.757,45.022,47.19,49.416,51.737,54.169,56.484,58.312,59.749,60.876,61.762,62.457,63.003,63.432,63.769,64.033
"Income Inequality Model (2019)","SSP4","Belgium","","Gini Income Inequality Coefficient",27.613,28.063,28.578,29.16,29.793,30.459,31.151,31.881,32.647,33.446,34.271,35.124,36,36.895,37.802,38.711,39.622,40.535
"Income Inequality Model (2019)","SSP4","Belize","","Gini Income Inequality Coefficient",53.575,53.939,54.272,54.541,54.85,55.31,55.704,56.043,56.323,56.551,56.738,56.889,57.009,57.099,57.163,57.2,57.213,57.204
"Income Inequality Model (2019)","SSP4","Benin","","Gini Income Inequality Coefficient",49.759,50.181,50.661,50.961,51.286,51.166,51.291,51.575,51.824,52.042,52.229,52.382,52.497,52.57,52.6,52.587,52.535,52.553
"Income Inequality Model (2019)","SSP4","Bhutan","","Gini Income Inequality Coefficient",44.548,44.86,45.472,46.009,46.286,46.298,46.038,45.568,45.014,44.64,44.406,44.105,44.056,43.98,43.847,43.653,43.404,43.028
"Income Inequality Model (2019)","SSP4","Bolivia","","Gini Income Inequality Coefficient",54.269,53.912,53.372,52.397,51.243,49.824,48.146,46.183,43.955,41.451,38.619,35.381,31.794,28.695,26.167,24.106,22.425,21.055
"Income Inequality Model (2019)","SSP4","Bosnia and Herzegovina","","Gini Income Inequality Coefficient",33.047,33.412,33.8,34.37,34.869,35.295,35.704,36.102,36.624,37.22,37.855,38.511,39.188,39.878,40.516,41.162,41.815,42.479
"Income Inequality Model (2019)","SSP4","Botswana","","Gini Income Inequality Coefficient",66.775,67.139,67.472,67.741,68.05,68.51,68.904,69.243,69.523,69.751,69.938,70.089,70.209,70.299,70.363,70.4,70.413,70.404
"Income Inequality Model (2019)","SSP4","Brazil","","Gini Income Inequality Coefficient",57.756,58.883,60.085,61.122,61.988,62.66,63.183,63.589,63.904,64.149,64.339,64.486,64.601,64.69,64.759,64.813,64.855,64.887
"Income Inequality Model (2019)","SSP4","Brunei Darussalam","","Gini Income Inequality Coefficient",45.501,45.9,46.336,46.62,46.812,46.846,46.835,46.783,46.682,46.529,46.319,46.044,45.714,45.378,45.049,44.718,44.382,44.039
"Income Inequality Model (2019)","SSP4","Bulgaria","","Gini Income Inequality Coefficient",37.467,39.914,42.71,45.218,47.513,49.78,52.06,54.369,56.653,58.516,59.963,61.087,61.961,62.639,63.166,63.575,63.893,64.14
"Income Inequality Model (2019)","SSP4","Burkina Faso","","Gini Income Inequality Coefficient",46.003,46.443,47.076,47.461,47.787,47.233,47.042,47.086,47.104,47.161,47.24,47.277,47.345,47.366,47.328,47.228,47.071,47.01
"Income Inequality Model (2019)","SSP4","Burundi","","Gini Income Inequality Coefficient",39.906,40.397,40.585,40.524,40.368,40.174,39.949,39.702,39.432,38.793,37.809,36.719,35.198,33.829,32.711,31.805,31.071,30.476
"Income Inequality Model (2019)","SSP4","Cabo Verde","","Gini Income Inequality Coefficient",53.505,53.869,54.202,54.471,54.78,55.24,55.634,55.973,56.253,56.481,56.668,56.819,56.939,57.029,57.093,57.13,57.143,57.134
"Income Inequality Model (2019)","SSP4","Cambodia","","Gini Income Inequality Coefficient",38.246,38.737,38.925,38.864,38.708,38.514,38.289,38.042,37.772,37.133,36.149,35.059,33.538,32.169,31.051,30.145,29.411,28.816
"Income Inequality Model (2019)","SSP4","Cameroon","","Gini Income Inequality Coefficient",49.142,49.592,50.146,50.461,50.795,50.383,50.373,50.628,50.862,51.075,51.263,51.417,51.529,51.593,51.607,51.569,51.483,51.515
"Income Inequality Model (2019)","SSP4","Canada","","Gini Income Inequality Coefficient",28.558,29.256,30.182,31.347,32.705,34.174,35.726,37.362,39.079,40.867,42.718,44.633,46.611,48.656,50.774,52.967,55.245,57.614
"Income Inequality Model (2019)","SSP4","Central African Republic","","Gini Income Inequality Coefficient",62.555,62.919,63.252,63.521,63.83,64.29,64.684,65.023,65.303,65.531,65.718,65.869,65.989,66.079,66.143,66.18,66.193,66.184
"Income Inequality Model (2019)","SSP4","Chad","","Gini Income Inequality Coefficient",49.64,50.067,50.561,50.864,51.191,51.014,51.113,51.392,51.637,51.855,52.042,52.195,52.309,52.381,52.408,52.39,52.331,52.352
