"model","scenario","region","unit","variable","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Income Inequality Model (2019)","SSP1","Congo","","Gini Income Inequality Coefficient",45.928,45.633,45.285,44.787,43.576,41.934,40.529,39.902,38.426,36.917,35.606,34.524,33.672,32.989,32.437,31.989,31.642,31.361
"Income Inequality Model (2019)","SSP1","Costa Rica","","Gini Income Inequality Coefficient",45.092,43.418,41.176,38.154,34.522,30.645,27.392,24.815,22.774,21.157,19.877,18.862,18.059,17.423,16.919,16.52,16.204,15.954
"Income Inequality Model (2019)","SSP1","Croatia","","Gini Income Inequality Coefficient",31.704,31.769,31.803,31.809,31.882,31.775,31.557,31.224,31.023,30.847,30.598,30.322,30.03,29.728,29.419,29.165,28.94,28.717
"Income Inequality Model (2019)","SSP1","Cuba","","Gini Income Inequality Coefficient",26.579,26.471,26.339,26.013,25.037,23.64,22.279,21.075,20.006,19.112,18.396,17.822,17.361,16.992,16.696,16.459,16.269,16.116
"Income Inequality Model (2019)","SSP1","Cyprus","","Gini Income Inequality Coefficient",32.359,32.43,32.47,32.48,32.551,32.445,32.231,31.903,31.702,31.524,31.272,30.994,30.699,30.394,30.083,29.823,29.592,29.363
"Income Inequality Model (2019)","SSP1","Czechia","","Gini Income Inequality Coefficient",27.154,27.593,27.921,27.98,27.739,27.193,26.37,25.302,24.667,23.968,23.183,22.293,21.29,20.205,19.059,17.958,16.848,15.7
"Income Inequality Model (2019)","SSP1","Côte d'Ivoire","","Gini Income Inequality Coefficient",48.977,48.728,48.387,47.875,46.922,45.674,44.506,43.745,42.668,41.596,40.619,39.757,39.013,38.353,37.755,37.207,36.705,36.23
"Income Inequality Model (2019)","SSP1","Democratic Republic of the Congo","","Gini Income Inequality Coefficient",48.141,47.86,47.517,47.02,45.865,44.308,42.955,42.301,40.921,39.517,38.287,37.257,36.431,35.753,35.189,34.717,34.332,34.003
"Income Inequality Model (2019)","SSP1","Denmark","","Gini Income Inequality Coefficient",24.103,24.336,24.488,24.532,24.503,24.399,24.214,23.954,23.635,23.27,22.87,22.442,21.992,21.522,21.038,20.56,20.075,19.589
"Income Inequality Model (2019)","SSP1","Djibouti","","Gini Income Inequality Coefficient",50.45,50.255,49.917,49.382,48.783,48.08,47.237,46.288,45.743,45.256,44.725,44.158,43.559,42.93,42.272,41.591,40.884,40.151
"Income Inequality Model (2019)","SSP1","Dominican Republic","","Gini Income Inequality Coefficient",50.705,50.953,51.234,51.529,51.802,51.945,51.913,51.694,51.871,52.02,52.146,52.263,52.374,52.487,52.607,52.752,52.915,53.098
"Income Inequality Model (2019)","SSP1","Ecuador","","Gini Income Inequality Coefficient",39,38.437,37.653,36.533,35.099,33.391,31.402,29.152,26.689,24.473,22.677,21.221,20.041,19.085,18.311,17.683,17.174,16.762
"Income Inequality Model (2019)","SSP1","Egypt","","Gini Income Inequality Coefficient",36.329,36.221,36.089,35.763,34.787,33.39,32.029,30.825,29.756,28.862,28.146,27.572,27.111,26.742,26.446,26.209,26.019,25.866
"Income Inequality Model (2019)","SSP1","El Salvador","","Gini Income Inequality Coefficient",41.995,41.752,41.454,40.975,40.115,38.992,37.814,36.587,35.442,34.418,33.577,32.902,32.356,31.917,31.565,31.283,31.054,30.87
"Income Inequality Model (2019)","SSP1","Equatorial Guinea","","Gini Income Inequality Coefficient",49.656,49.411,49.07,48.55,47.729,46.687,45.618,44.661,43.699,42.786,41.959,41.224,40.573,39.983,39.44,38.935,38.459,38.002
"Income Inequality Model (2019)","SSP1","Eritrea","","Gini Income Inequality Coefficient",49.656,49.411,49.07,48.55,47.729,46.687,45.618,44.661,43.699,42.786,41.959,41.224,40.573,39.983,39.44,38.935,38.459,38.002
"Income Inequality Model (2019)","SSP1","Estonia","","Gini Income Inequality Coefficient",35.148,34.905,34.615,34.181,33.635,32.987,32.252,31.47,30.67,29.814,28.868,27.826,26.71,25.561,24.403,23.251,22.061,20.814
"Income Inequality Model (2019)","SSP1","Eswatini","","Gini Income Inequality Coefficient",57.285,57.091,56.753,56.217,55.632,54.95,54.121,53.164,52.64,52.175,51.662,51.106,50.513,49.885,49.224,48.538,47.823,47.08
"Income Inequality Model (2019)","SSP1","Ethiopia","","Gini Income Inequality Coefficient",38.749,38.641,38.509,38.183,37.207,35.81,34.449,33.245,32.176,31.282,30.566,29.992,29.531,29.162,28.866,28.629,28.439,28.286
"Income Inequality Model (2019)","SSP1","Fiji","","Gini Income Inequality Coefficient",48.567,48.302,47.961,47.456,46.404,45.005,43.746,43.038,41.812,40.577,39.476,38.532,37.748,37.079,36.498,35.987,35.542,35.138
"Income Inequality Model (2019)","SSP1","Finland","","Gini Income Inequality Coefficient",25.281,25.761,26.012,26.093,26.013,25.766,25.361,24.817,24.459,24.07,23.654,23.202,22.718,22.206,21.668,21.123,20.574,20.012
"Income Inequality Model (2019)","SSP1","France","","Gini Income Inequality Coefficient",28.42,28.444,28.436,28.329,28.119,27.795,27.357,26.814,26.311,25.778,25.213,24.626,24.033,23.443,22.86,22.279,21.698,21.117
"Income Inequality Model (2019)","SSP1","French Polynesia","","Gini Income Inequality Coefficient",41.77,41.564,41.318,40.901,39.817,38.315,36.943,36.018,34.747,33.548,32.536,31.71,31.055,30.53,30.107,29.765,29.496,29.279
"Income Inequality Model (2019)","SSP1","Gabon","","Gini Income Inequality Coefficient",47.952,47.665,47.322,46.827,45.627,44.001,42.606,41.976,40.528,39.049,37.762,36.694,35.85,35.168,34.612,34.156,33.797,33.501
"Income Inequality Model (2019)","SSP1","Gambia","","Gini Income Inequality Coefficient",53.165,52.971,52.633,52.097,51.512,50.83,50.001,49.044,48.52,48.055,47.542,46.986,46.393,45.765,45.104,44.418,43.703,42.96
"Income Inequality Model (2019)","SSP1","Georgia","","Gini Income Inequality Coefficient",41.664,41.929,42.176,42.324,42.358,42.32,42.182,41.975,41.984,41.986,42.017,42.05,42.078,42.111,42.155,42.222,42.304,42.404
"Income Inequality Model (2019)","SSP1","Germany","","Gini Income Inequality Coefficient",29.711,30.175,30.512,30.706,30.746,30.61,30.298,29.828,29.532,29.188,28.805,28.382,27.93,27.468,27,26.539,26.092,25.666
