poverty_3,poverty_4_20,poverty_8_30,poverty_10
5788329609.15755,5788329609.15755,,
5489608299.66445,5489608299.66445,,
5438863982.88692,5438863982.88692,70.61489,75.00767
7511582173.37724,7511582173.37724,,
8957467706.5354,8957467706.5354,,
9918907108.09702,9918907108.09702,,
9919158482.41085,9919158482.41085,,
10567270655.5027,10567270655.5027,,
10730829116.4105,10730829116.4105,,
10118459242.3183,10118459242.3183,62.70909,69.00521
12637273429.1339,12637273429.1339,,
15110643612.1729,15110643612.1729,,
13907464500.1489,13907464500.1489,,
14271738933.2042,14271738933.2042,,
15470088500.7414,15470088500.7414,,
13530748844.505,13530748844.505,63.173527,69.38083
850426433004.077,850426433004.077,54.89577,61.416267
883206452795.124,883206452795.124,55.11129,61.689083
863711007325.493,863711007325.493,54.290497,60.91441
599642075004.471,599642075004.471,55.81575,62.785202
655448188259.351,655448188259.351,,
559983704094.17,559983704094.17,50.290627,57.260235
509795270685.19,509795270685.19,49.8122,56.68828
558233724164.711,558233724164.711,50.887424,57.859493
669289321944.512,669289321944.512,49.527367,57.00757
891633826625.407,891633826625.407,47.50532,54.778732
1107626711163.23,1107626711163.23,43.70508,51.450462
1397114247188.89,1397114247188.89,41.21822,48.704838
1695855391757.96,1695855391757.96,38.221203,45.72975
1666996294252.12,1666996294252.12,36.34224,43.934708
2208838108484.35,2208838108484.35,,
2616156606579.21,2616156606579.21,32.150925,39.774075
2465228293706.86,2465228293706.86,30.346321,37.64345
2472819362043.74,2472819362043.74,27.799538,34.9771
2456043766032.38,2456043766032.38,26.332876,33.49734
1802211999456.42,1802211999456.42,27.272823,34.35926
7663377306.04996,7663377306.04996,,
7793034376.20807,7793034376.20807,,
5550846019.54348,5550846019.54348,,
6309070377.5966,6309070377.5966,,
6570999087.56742,6570999087.56742,,
6096155767.38145,6096155767.38145,,
6333082875.56937,6333082875.56937,,
7167725261.92713,7167725261.92713,,
8619178773.51458,8619178773.51458,,
10547202620.5286,10547202620.5286,,
12644616418.691,12644616418.691,,
13432029484.4012,13432029484.4012,,
15926456515.0049,15926456515.0049,,
11912904509.8582,11912904509.8582,,
13707121038.4383,13707121038.4383,,
18524791062.657,18524791062.657,,
19048443340.7732,19048443340.7732,,
18094148098.6536,18094148098.6536,,
17097797386.0336,17097797386.0336,,
12930296870.1247,12930296870.1247,,
12294964837.6235,12294964837.6235,,
11316127378.9613,11316127378.9613,,
15031055046.7575,15031055046.7575,,
13637098579.109,13637098579.109,,
13245990274.4581,13245990274.4581,,
14183446025.7389,14183446025.7389,,
16403043849.8297,16403043849.8297,,
21144957990.4681,21144957990.4681,,
26157743368.8716,26157743368.8716,,
29868657858.0082,29868657858.0082,,
34380536495.6739,34380536495.6739,33.500526,46.39808
44431257128.8618,44431257128.8618,18.492077,28.007687
54480684188.4442,54480684188.4442,13.442032,20.431742
52023801230.12,52023801230.12,13.000573,19.209946
50689051382.4361,50689051382.4361,15.8869505,22.542229
57681293006.9721,57681293006.9721,16.985298,23.883781
