poverty_3,poverty_4_20,poverty_8_30,poverty_10
678412196271.118,678412196271.118,1.2491641,1.745688
744773415931.587,744773415931.587,0.99969906,1.495046
738981792355.372,738981792355.372,0.9984884,1.2483228
760649334098.005,760649334098.005,0.99994975,1.2448947
895540646634.787,895540646634.787,0.74935186,1.2468737
1026690238278.25,1026690238278.25,0.7490003,1.2471344
1173108598778.68,1173108598778.68,0.9960712,1.4962932
1319264809590.97,1319264809590.97,0.74710554,0.9985482
1468820407783.26,1468820407783.26,0.7455863,0.99863756
1552989690721.65,1552989690721.65,0.9988177,1.2497355
1374625142157.29,1374625142157.29,0.9896123,1.2491603
1617343367486.26,1617343367486.26,0.7216526,0.9811928
1793326630174.52,1793326630174.52,0.7378866,0.99704957
1828366481521.6,1828366481521.6,0.9985207,1.2469374
1846597421834.98,1846597421834.98,0.98056114,1.4855498
1805749878439.94,1805749878439.94,0.9984862,1.2433002
1556508816217.14,1556508816217.14,0.99356127,1.246323
1007791127.09913,1007791127.09913,,
937741513.015352,937741513.015352,,
967338389.650578,967338389.650578,,
999477510.686632,999477510.686632,,
916777282.691659,916777282.691659,,
932648604.751954,932648604.751954,,
996068144.884889,996068144.884889,,
1142315522.53864,1142315522.53864,,
1272360517.32373,1272360517.32373,,
1337894378.73743,1337894378.73743,,
1461859762.33459,1461859762.33459,,
1699811294.94935,1699811294.94935,,
1993407888.49838,1993407888.49838,92.42813,94.59514
2067381665.25454,2067381665.25454,,
2142591540.40068,2142591540.40068,,
2437982705.12093,2437982705.12093,,
2510126512.22831,2510126512.22831,,
1691544110.18543,1691544110.18543,,
1894813389.40325,1894813389.40325,,
1695825714.19282,1695825714.19282,,
1607345355.78298,1607345355.78298,,
1544689576.92712,1544689576.92712,,
1744794531.21401,1744794531.21401,,
1534673583.2487,1534673583.2487,,
1388506771.58756,1388506771.58756,,
1710843377.00119,1710843377.00119,,
1997005708.81576,1997005708.81576,,
2742815071.5744,2742815071.5744,96.17588,97.478714
4422855660.82592,4422855660.82592,,
8655892392.92919,8655892392.92919,,
9709626596.13031,9709626596.13031,,
10865385131.5172,10865385131.5172,,
13385593990.3378,13385593990.3378,,
12317614053.6841,12317614053.6841,,
14058506663.7252,14058506663.7252,,
16685349673.9957,16685349673.9957,88.48915,92.45767
17892228569.8861,17892228569.8861,,
17865316886.3315,17865316886.3315,,
18144336903.7175,18144336903.7175,,
14559599499.5011,14559599499.5011,,
78584098983.6374,78584098983.6374,44.63186,53.034103
85741415285.165,85741415285.165,,
81990010704.0602,81990010704.0602,41.590683,50.32138
75578685735.5219,75578685735.5219,,
78339750721.364,78339750721.364,44.46251,53.35576
71574739561.4329,71574739561.4329,,
70264045939.2773,70264045939.2773,,
76492579644.0605,76492579644.0605,43.22968,52.482574
99075985773.6682,99075985773.6682,,
122294145163.192,122294145163.192,,
153843518170.864,153843518170.864,31.971502,41.48791
172491076033.863,172491076033.863,,
179894594475.405,179894594475.405,,
171777900623.892,171777900623.892,27.573946,37.550488
217051209238.534,217051209238.534,,
251382573893.87,251382573893.87,23.460876,32.750217
267024782486.855,267024782486.855,,
277395018842.417,277395018842.417,14.374792,22.512726
259560978224.359,259560978224.359,,
242450355830.884,242450355830.884,11.700499,18.393139
868523936530.083,868523936530.083,96.41133,97.88431
967753570434.667,967753570434.667,,
1037134141760.35,1037134141760.35,,
1103843203575.64,1103843203575.64,94.46079,96.61297
1223754919971.05,1223754919971.05,,
1355036590251.52,1355036590251.52,,
1489821682050.54,1489821682050.54,89.28982,93.13624
1683903309843.85,1683903309843.85,,
1984196551300.44,1984196551300.44,,
2317551298052.05,2317551298052.05,81.75517,87.705605
2791498472804.33,2791498472804.33,,
3604055822571.63,3604055822571.63,,
4667346414521.95,4667346414521.95,72.99513,80.57089
5189577094997.58,5189577094997.58,,
6192564874453.29,6192564874453.29,66.099,74.30225
7671757207851.29,7671757207851.29,62.683285,71.39188
8673664713189.24,8673664713189.24,58.02091,67.035164
9743124247267.24,9743124247267.24,51.654434,61.64943
10674533168257.4,10674533168257.4,46.72927,57.05716
11280814787468.9,11280814787468.9,42.38494,53.009277
97160109277.8087,97160109277.8087,66.68921,73.774574
106659508271.255,106659508271.255,,
98443739941.1664,98443739941.1664,,
86186158684.7685,86186158684.7685,69.225334,75.443634
99875074951.0278,99875074951.0278,65.41332,71.965294
98200641203.3892,98200641203.3892,71.45003,77.81126
97945812802.8882,97945812802.8882,62.45682,69.20839
94644969157.0987,94644969157.0987,63.320152,70.68212
117092416666.245,117092416666.245,62.445114,69.59889
145600529605.803,145600529605.803,59.11028,66.70085
161792958904.864,161792958904.864,,
206229540926.312,206229540926.312,,
242504150472.931,242504150472.931,53.657944,61.192917
232468663109.595,232468663109.595,52.513218,60.3012
286498534094.963,286498534094.963,50.042206,57.976948
334966134804.887,334966134804.887,47.244205,55.29484
370691143018.039,370691143018.039,45.446644,53.47381
382093697077.685,382093697077.685,42.98279,51.24994
381240864422.407,381240864422.407,40.83555,49.199165
293492370193.166,293492370193.166,40.037273,48.627575
392488148.725187,392488148.725187,,
362816806.134452,362816806.134452,,
363932160.233771,363932160.233771,,
371921712.454518,371921712.454518,,
339504306.290689,339504306.290689,,
372746486.166796,372746486.166796,,
427360070.324544,427360070.324544,,
546830040.540273,546830040.540273,,
622679660.37137,622679660.37137,76.73293,82.30894
655375095.906176,655375095.906176,,
688498641.512529,688498641.512529,,
795673152.867077,795673152.867077,,
915659107.965823,915659107.965823,,
905341172.70583,905341172.70583,,
907978730.887844,907978730.887844,,
1023086273.53336,1023086273.53336,,
1015843490.82374,1015843490.82374,,
1116224106.83728,1116224106.83728,,
1149587661.00693,1149587661.00693,76.71861,83.557365
966029600.862227,966029600.862227,,
