country_name,scenario,log_gdp_pc_ood_onset,log_population_ood_onset,hdi_ood_onset,control_of_corruption_ood_onset,employment_agriculture_ood_onset,gini_coefficient_ood_onset,gdp_growth_5y_ood_onset,region_EAP_ood_onset,region_ECA_ood_onset,region_LAC_ood_onset,region_MENA_ood_onset,region_NAC_ood_onset,region_SAS_ood_onset
Russian Federation,SSP4,2025,,,,2085.0,,,,,,,2025.0,2025.0
Russian Federation,SSP5,2025,,,,2070.0,,,,,,,2025.0,2025.0
Rwanda,SSP1,2025,,,,2085.0,,,,,,,2025.0,2025.0
Rwanda,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Rwanda,SSP5,2025,,,,2075.0,,,,,,,2025.0,2025.0
Saint Lucia,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Saint Lucia,SSP4,2025,,,,2085.0,,,,,,,2025.0,2025.0
Saint Lucia,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Saint Vincent and the Grenadines,SSP1,2025,2085.0,,,2070.0,,,,,,,2025.0,2025.0
Saint Vincent and the Grenadines,SSP4,2025,,,,2085.0,,,,,,,2025.0,2025.0
Saint Vincent and the Grenadines,SSP5,2025,2060.0,,,2065.0,,,,,,,2025.0,2025.0
Samoa,SSP1,2025,,,,2075.0,,,,,,,2025.0,2025.0
Samoa,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Samoa,SSP5,2025,,,,2070.0,,,,,,,2025.0,2025.0
Sao Tome and Principe,SSP1,2025,,,,2060.0,,,,,,,2025.0,2025.0
Sao Tome and Principe,SSP4,2025,,,,2085.0,,,,,,,2025.0,2025.0
Sao Tome and Principe,SSP5,2025,,,,2060.0,,,,,,,2025.0,2025.0
Saudi Arabia,SSP1,2025,,,,,,,,,,,2025.0,2025.0
Saudi Arabia,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Saudi Arabia,SSP5,2025,,,,2090.0,,,,,,,2025.0,2025.0
Senegal,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
Senegal,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Senegal,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
Serbia,SSP1,2025,,,,,,,,,,,2025.0,2025.0
Serbia,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Serbia,SSP5,2025,,,,2090.0,,,,,,,2025.0,2025.0
Sierra Leone,SSP1,2025,,,,2075.0,,,,,,,2025.0,2025.0
Sierra Leone,SSP4,2025,,,,,,,,,,,2025.0,2025.0
Sierra Leone,SSP5,2025,,,,2070.0,,,,,,,2025.0,2025.0
Singapore,SSP1,2025,,,,2025.0,,,,,,,2025.0,2025.0
Singapore,SSP4,2025,,,,2025.0,,,,,,,2025.0,2025.0
Singapore,SSP5,2025,,,,2025.0,,,,,,,2025.0,2025.0
Slovakia,SSP1,2025,,,,2085.0,,,,,,,2025.0,2025.0
Slovakia,SSP4,2025,,,,2080.0,,,,,,,2025.0,2025.0
Slovakia,SSP5,2025,,,,2075.0,,,,,,,2025.0,2025.0
Slovenia,SSP1,2025,,,,,2075.0,,,,,,2025.0,2025.0
Slovenia,SSP4,2025,,,,2100.0,,,,,,,2025.0,2025.0
Slovenia,SSP5,2025,,,,2085.0,2065.0,,,,,,2025.0,2025.0
South Africa,SSP1,2025,,,,2070.0,,,,,,,2025.0,2025.0
South Africa,SSP4,2025,,,,2075.0,2025.0,,,,,,2025.0,2025.0
South Africa,SSP5,2025,,,,2065.0,,,,,,,2025.0,2025.0
South Korea,SSP1,2025,,,,2065.0,,,,,,,2025.0,2025.0
South Korea,SSP4,2025,,,,2065.0,,,,,,,2025.0,2025.0
South Korea,SSP5,2025,,,,2060.0,,,,,,,2025.0,2025.0
Spain,SSP1,2025,,,,,2100.0,,,,,,2025.0,2025.0
