"model","scenario","region","unit","variable","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075"
"Human Development Index Model (2015)","SSP1","Iceland","","Human Development Index",0.860691122,0.868675148,0.880236976,0.892837686,0.904154282,0.9134664,0.921684127,0.928778003,0.932910367,0.934811237,0.933608142,0.933158546,0.933149197,0.93291401
"Human Development Index Model (2015)","SSP1","India","","Human Development Index",0.538066062,0.576602694,0.624053071,0.663965436,0.695166581,0.719797361,0.740112647,0.755876089,0.766058394,0.772083326,0.774494009,0.776872012,0.779367786,0.781757107
"Human Development Index Model (2015)","SSP1","Indonesia","","Human Development Index",0.604782395,0.629385579,0.664851039,0.695934066,0.720747413,0.739645465,0.756418614,0.770597501,0.780619169,0.786915372,0.789506234,0.792245528,0.795318276,0.798418709
"Human Development Index Model (2015)","SSP1","Iran","","Human Development Index",0.671779241,0.696201804,0.717280883,0.733355305,0.747721958,0.761214849,0.775071519,0.787882094,0.797336984,0.803574673,0.8062932,0.808982232,0.811750458,0.814539816
"Human Development Index Model (2015)","SSP1","Iraq","","Human Development Index",0.600209698,0.632007705,0.681180614,0.721199285,0.74847183,0.765841893,0.77775511,0.786422726,0.791897777,0.795015306,0.79558907,0.797131711,0.799368068,0.801818501
"Human Development Index Model (2015)","SSP1","Ireland","","Human Development Index",0.851234907,0.859716639,0.869730245,0.88157439,0.8922666,0.900684793,0.90737348,0.912620506,0.914995282,0.915002917,0.912177888,0.910303959,0.90886354,0.907498683
"Human Development Index Model (2015)","SSP1","Israel","","Human Development Index",0.815636093,0.819610706,0.821373034,0.823914771,0.828023128,0.832455068,0.837432571,0.841944798,0.843826655,0.843309133,0.840332934,0.838626284,0.838124513,0.838309971
"Human Development Index Model (2015)","SSP1","Italy","","Human Development Index",0.805702325,0.815408922,0.831517446,0.849372909,0.864796858,0.876914302,0.886467369,0.894196227,0.898482312,0.900206852,0.898969981,0.898696364,0.899074412,0.899514196
"Human Development Index Model (2015)","SSP1","Jamaica","","Human Development Index",0.667859241,0.678601273,0.699705679,0.723391378,0.743362857,0.758102203,0.768957273,0.776872165,0.78097828,0.7826952,0.782075789,0.782600605,0.784051464,0.785943778
"Human Development Index Model (2015)","SSP1","Japan","","Human Development Index",0.8667341,0.870000555,0.874447308,0.88009957,0.886227884,0.891422247,0.896219965,0.900366322,0.902159109,0.901780035,0.898663703,0.896673815,0.89548209,0.894767496
"Human Development Index Model (2015)","SSP1","Jordan","","Human Development Index",0.672737716,0.693463076,0.722747324,0.748613221,0.769021558,0.783906738,0.795381456,0.804235714,0.809493232,0.812088099,0.811626162,0.811702078,0.812082338,0.812341431
"Human Development Index Model (2015)","SSP1","Kazakhstan","","Human Development Index",0.696178721,0.719562596,0.74124123,0.756094358,0.766064088,0.773378367,0.779451727,0.784674616,0.787708798,0.78904206,0.788341255,0.788706156,0.789836245,0.791126661
"Human Development Index Model (2015)","SSP1","Kenya","","Human Development Index",0.488944855,0.517748486,0.55695742,0.592330085,0.625186341,0.65243349,0.676440176,0.697044343,0.711923235,0.722932088,0.730089922,0.736471836,0.742268041,0.747263254
"Human Development Index Model (2015)","SSP1","Kuwait","","Human Development Index",0.762904167,0.776431939,0.787120093,0.7934345,0.798500761,0.804083929,0.810771035,0.817971326,0.823839468,0.828412301,0.83021029,0.832423761,0.834715488,0.836686147
"Human Development Index Model (2015)","SSP1","Kyrgyzstan","","Human Development Index",0.57421651,0.609002037,0.671408792,0.72139921,0.751796044,0.768662944,0.778521476,0.784255778,0.786728721,0.787227973,0.785675648,0.785330579,0.785903173,0.786836768
"Human Development Index Model (2015)","SSP1","Laos","","Human Development Index",0.498303135,0.526743491,0.553318861,0.574193632,0.592330799,0.608759499,0.624498413,0.639280414,0.651584425,0.661553669,0.669968368,0.678836435,0.687256821,0.694422953
"Human Development Index Model (2015)","SSP1","Latvia","","Human Development Index",0.764006037,0.777637587,0.793918483,0.808898836,0.819587074,0.826401413,0.831454081,0.835187625,0.836425324,0.836184445,0.833959486,0.833233725,0.833481055,0.834046018
"Human Development Index Model (2015)","SSP1","Lebanon","","Human Development Index",0.706639733,0.725841942,0.745425881,0.759790717,0.771896799,0.78260094,0.79266127,0.801679112,0.807703829,0.81097737,0.811434503,0.812805603,0.814798064,0.816995838
"Human Development Index Model (2015)","SSP1","Lesotho","","Human Development Index",0.438059616,0.465095101,0.491092639,0.515521863,0.54146926,0.56845428,0.594431245,0.619117836,0.638656497,0.6555527,0.669087093,0.682777887,0.695917008,0.707611116
"Human Development Index Model (2015)","SSP1","Liberia","","Human Development Index",0.264517,0.303939811,0.365717124,0.417591859,0.46242131,0.501538019,0.536587099,0.568460745,0.595646427,0.619139098,0.638849235,0.657274094,0.674186239,0.689205194
"Human Development Index Model (2015)","SSP1","Lithuania","","Human Development Index",0.775374745,0.791119403,0.807390783,0.820937342,0.830398405,0.835856544,0.839725338,0.842596199,0.843135516,0.842226442,0.839609917,0.838524829,0.8384509,0.83863243
"Human Development Index Model (2015)","SSP1","Luxembourg","","Human Development Index",0.855260992,0.869082961,0.884732846,0.897695212,0.908302511,0.916738982,0.924059425,0.930491631,0.933816427,0.934706397,0.93242802,0.930992768,0.929972445,0.929021798
"Human Development Index Model (2015)","SSP1","Madagascar","","Human Development Index",0.388981685,0.407012403,0.439074803,0.469262016,0.496986504,0.522511795,0.546379822,0.569035672,0.589484826,0.60755235,0.622572615,0.637022919,0.650997388,0.664008992
"Human Development Index Model (2015)","SSP1","Malawi","","Human Development Index",0.381943398,0.412271074,0.453970959,0.490011769,0.524182662,0.555957093,0.585088028,0.611601129,0.633336401,0.651167097,0.665998704,0.680187998,0.69336851,0.705111501
"Human Development Index Model (2015)","SSP1","Malaysia","","Human Development Index",0.746120509,0.761047503,0.777195789,0.793138825,0.808490713,0.821723792,0.833464709,0.84307389,0.848870274,0.851385042,0.850523827,0.849995521,0.850109648,0.850620118
"Human Development Index Model (2015)","SSP1","Maldives","","Human Development Index",0.625624891,0.653259963,0.679142362,0.700319273,0.719180076,0.736260064,0.752378035,0.767806489,0.780156158,0.790658731,0.798190009,0.805880192,0.812188868,0.817048316
"Human Development Index Model (2015)","SSP1","Mali","","Human Development Index",0.283004859,0.327344155,0.372768762,0.413046898,0.45228994,0.490173837,0.526462508,0.558880394,0.583456555,0.602971651,0.618709799,0.63415508,0.649058785,0.662905715
"Human Development Index Model (2015)","SSP1","Malta","","Human Development Index",0.790758955,0.806204001,0.825622675,0.844203769,0.859910679,0.872389056,0.883185336,0.891938099,0.89723363,0.899599208,0.898822972,0.898604592,0.89878319,0.899159676
"Human Development Index Model (2015)","SSP1","Mauritius","","Human Development Index",0.661579008,0.679635501,0.695989792,0.709821263,0.723229015,0.736172598,0.749870846,0.763764264,0.776071476,0.786241555,0.793182101,0.799765479,0.807297502,0.81471761
"Human Development Index Model (2015)","SSP1","Mexico","","Human Development Index",0.712335749,0.72657757,0.744699223,0.763424731,0.779782466,0.793830845,0.806596182,0.817458574,0.824626272,0.828863554,0.830155901,0.832117688,0.834480094,0.836948679
"Human Development Index Model (2015)","SSP1","Moldova","","Human Development Index",0.618899887,0.651364599,0.703252918,0.747035572,0.774450459,0.79029168,0.800211349,0.806471432,0.808999157,0.809520172,0.807916429,0.80760458,0.808282103,0.809364467
"Human Development Index Model (2015)","SSP1","Mongolia","","Human Development Index",0.610168146,0.62665678,0.646574074,0.664769349,0.681273082,0.695284208,0.707895128,0.719475496,0.728157397,0.7342171,0.737187965,0.740040797,0.742755859,0.745097136
"Human Development Index Model (2015)","SSP1","Morocco","","Human Development Index",0.541056587,0.56959826,0.597720466,0.623237532,0.647226253,0.669552106,0.690364998,0.710042346,0.727028025,0.741178214,0.75142362,0.760609057,0.768514147,0.774933441
"Human Development Index Model (2015)","SSP1","Mozambique","","Human Development Index",0.302704912,0.347785889,0.398819124,0.44018027,0.476513021,0.510191062,0.539396001,0.566379502,0.589716737,0.610742473,0.628967682,0.646326371,0.662501494,0.677071905
"Human Development Index Model (2015)","SSP1","Namibia","","Human Development Index",0.597283556,0.621376869,0.645657362,0.669665732,0.691288608,0.710341157,0.727118707,0.742278213,0.752555816,0.759904754,0.763685444,0.767083906,0.770075632,0.772675453
"Human Development Index Model (2015)","SSP1","Nepal","","Human Development Index",0.448010699,0.480339482,0.515143201,0.546534669,0.577126249,0.606986131,0.636161816,0.662709374,0.684601237,0.701857931,0.714252352,0.725047864,0.734288546,0.741818556
"Human Development Index Model (2015)","SSP1","Netherlands","","Human Development Index",0.840933855,0.847652619,0.857088429,0.866357904,0.874789057,0.881552162,0.887748675,0.893255944,0.89618443,0.896948838,0.89496832,0.89387058,0.893531327,0.893292447
"Human Development Index Model (2015)","SSP1","New Zealand","","Human Development Index",0.847129633,0.853536374,0.861962903,0.87058165,0.878484355,0.884782035,0.890370631,0.895243012,0.897398759,0.897390213,0.894716661,0.893107457,0.892300022,0.891639304
"Human Development Index Model (2015)","SSP1","Nicaragua","","Human Development Index",0.5459808,0.565121152,0.588774127,0.613127609,0.636466712,0.65806271,0.677824259,0.695563916,0.710212635,0.722945888,0.73281391,0.741817314,0.749494766,0.7556941
"Human Development Index Model (2015)","SSP1","Niger","","Human Development Index",0.26189996,0.291124701,0.332921173,0.37338222,0.411415728,0.446450742,0.479675255,0.510272434,0.536198777,0.561381432,0.581724057,0.600910048,0.618668449,0.634689103
"Human Development Index Model (2015)","SSP1","Nigeria","","Human Development Index",0.470569225,0.509425434,0.555009552,0.586478782,0.615555184,0.640291817,0.663664538,0.685503136,0.702622272,0.715622042,0.724680121,0.732162749,0.738633909,0.74403814
"Human Development Index Model (2015)","SSP1","North Macedonia","","Human Development Index",0.711756298,0.729711448,0.757175387,0.781498495,0.800937089,0.815561406,0.82750191,0.836773849,0.842255792,0.845055224,0.845174444,0.846368191,0.848294496,0.850302371
"Human Development Index Model (2015)","SSP1","Norway","","Human Development Index",0.878717023,0.884686714,0.893838116,0.903650708,0.912046815,0.918232351,0.923592244,0.928122482,0.930013816,0.929517253,0.926131577,0.923885891,0.92259742,0.921489111
"Human Development Index Model (2015)","SSP1","Pakistan","","Human Development Index",0.47640033,0.504475254,0.532839016,0.560609588,0.587569208,0.613446792,0.638551144,0.66160599,0.681225963,0.697149464,0.708713408,0.718996138,0.728085564,0.735776385
"Human Development Index Model (2015)","SSP1","Panama","","Human Development Index",0.730767874,0.748182164,0.768191688,0.782539753,0.794100735,0.80380702,0.81323503,0.821939722,0.827749357,0.830878387,0.830761562,0.830995183,0.831724014,0.832814921
"Human Development Index Model (2015)","SSP1","Paraguay","","Human Development Index",0.622263881,0.638141224,0.658018896,0.679064982,0.700694667,0.720013487,0.737863091,0.753385189,0.765872682,0.775341548,0.781107613,0.786129548,0.790217628,0.793470174
"Human Development Index Model (2015)","SSP1","Peru","","Human Development Index",0.695576918,0.712572571,0.732606026,0.748076528,0.761441611,0.772037816,0.781339212,0.789855457,0.795059824,0.797702142,0.797293238,0.797134727,0.797104654,0.796977222
"Human Development Index Model (2015)","SSP1","Philippines","","Human Development Index",0.611674265,0.626280659,0.646165281,0.665150337,0.684222759,0.701400408,0.716933894,0.730096336,0.739510512,0.745499107,0.747935523,0.75037457,0.752740842,0.754772769
"Human Development Index Model (2015)","SSP1","Poland","","Human Development Index",0.785622943,0.798786825,0.81510798,0.827366856,0.836213585,0.842163926,0.847295667,0.851841167,0.853992122,0.854200414,0.852052183,0.850976958,0.850668703,0.850635015
"Human Development Index Model (2015)","SSP1","Portugal","","Human Development Index",0.736006228,0.750477287,0.768753072,0.790066118,0.810950842,0.828896799,0.844051269,0.85655247,0.864711713,0.869566414,0.870690367,0.872110339,0.873709639,0.875217675
"Human Development Index Model (2015)","SSP1","Romania","","Human Development Index",0.725175362,0.743769934,0.765334103,0.783644701,0.7976292,0.807701628,0.815590288,0.821533441,0.824386383,0.825135468,0.823679656,0.823519135,0.824314417,0.825410828
"Human Development Index Model (2015)","SSP1","Russian Federation","","Human Development Index",0.708579561,0.72343759,0.738345319,0.750272824,0.759605168,0.766964166,0.773466135,0.779457969,0.783088698,0.78503607,0.784907754,0.785894307,0.787614011,0.789557652
"Human Development Index Model (2015)","SSP1","Rwanda","","Human Development Index",0.38836308,0.425725495,0.457131038,0.48199079,0.505379355,0.528570471,0.552231347,0.57599911,0.597489483,0.616842847,0.633652524,0.649611568,0.664356931,0.67721028
"Human Development Index Model (2015)","SSP1","Saint Lucia","","Human Development Index",0.69813497,0.709842225,0.722954619,0.735458012,0.747041805,0.757034637,0.767799883,0.778381955,0.785996945,0.790309509,0.791364643,0.792895249,0.79527117,0.797700269
"Human Development Index Model (2015)","SSP1","Saint Vincent and the Grenadines","","Human Development Index",0.697191348,0.716186388,0.740259328,0.756939706,0.769494227,0.778928477,0.787700361,0.795658686,0.802513313,0.807772914,0.809978585,0.812182272,0.814567658,0.816856194
